image,region,version,evenness_score
00001.png,left-cheek,original_roi,0.00527239661614808
00001.png,right-cheek,original_roi,0.005306594985879686
00001.png,bottom-face,original_roi,0.005712720809190393
00001.png,forehead,original_roi,0.004618850218178714
00001.png,under-eyes,original_roi,0.005546169858391395
00001.png,left-cheek,smooth_1_sigma_1.5,0.005440588214620801
00001.png,right-cheek,smooth_1_sigma_1.5,0.0056916988486811395
00001.png,bottom-face,smooth_1_sigma_1.5,0.005888991860930436
00001.png,forehead,smooth_1_sigma_1.5,0.004966164071560794
00001.png,under-eyes,smooth_1_sigma_1.5,0.00591343427925267
00001.png,left-cheek,smooth_2_sigma_2.5,0.005517089535858734
00001.png,right-cheek,smooth_2_sigma_2.5,0.00581530188869097
00001.png,bottom-face,smooth_2_sigma_2.5,0.00595403806115946
00001.png,forehead,smooth_2_sigma_2.5,0.005033962522979884
00001.png,under-eyes,smooth_2_sigma_2.5,0.006009307989838794
00011.png,left-cheek,original_roi,0.0040743201446276096
00011.png,right-cheek,original_roi,0.004406844700921448
00011.png,bottom-face,original_roi,0.005311810407532678
00011.png,forehead,original_roi,0.003753559510790678
00011.png,under-eyes,original_roi,0.0038208530301005426
00011.png,left-cheek,smooth_1_sigma_1.5,0.004211888216326228
00011.png,right-cheek,smooth_1_sigma_1.5,0.00452386585655667
00011.png,bottom-face,smooth_1_sigma_1.5,0.005575574435992593
00011.png,forehead,smooth_1_sigma_1.5,0.0038678209404612723
00011.png,under-eyes,smooth_1_sigma_1.5,0.003963133203728932
00011.png,left-cheek,smooth_2_sigma_2.5,0.004247314853487536
00011.png,right-cheek,smooth_2_sigma_2.5,0.004553583129647092
00011.png,bottom-face,smooth_2_sigma_2.5,0.005636808719063265
00011.png,forehead,smooth_2_sigma_2.5,0.003894180637328898
00011.png,under-eyes,smooth_2_sigma_2.5,0.004000605079614636
00016.png,left-cheek,original_roi,0.004484536588854669
00016.png,right-cheek,original_roi,0.0046620062787448985
00016.png,bottom-face,original_roi,0.005394129697568979
00016.png,forehead,original_roi,0.004691356568699599
00016.png,under-eyes,original_roi,0.005358492147324602
00016.png,left-cheek,smooth_1_sigma_1.5,0.00460777559902219
00016.png,right-cheek,smooth_1_sigma_1.5,0.0047858786137882576
00016.png,bottom-face,smooth_1_sigma_1.5,0.005606199566765746
00016.png,forehead,smooth_1_sigma_1.5,0.004964136817544689
00016.png,under-eyes,smooth_1_sigma_1.5,0.005557094403323708
00016.png,left-cheek,smooth_2_sigma_2.5,0.004639465505500951
00016.png,right-cheek,smooth_2_sigma_2.5,0.004819718538519186
00016.png,bottom-face,smooth_2_sigma_2.5,0.005665524727664144
00016.png,forehead,smooth_2_sigma_2.5,0.005045996855786211
00016.png,under-eyes,smooth_2_sigma_2.5,0.00561358178095816
00017.png,left-cheek,original_roi,0.009067375322854287
00017.png,right-cheek,original_roi,0.008715686228712721
00017.png,bottom-face,original_roi,0.008959078123765986
00017.png,forehead,original_roi,0.0073480388456384415
