image,region,version,tone_evenness_score
00001.png,left-cheek,original_roi,0.28040311946250873
00001.png,right-cheek,original_roi,0.2468663401824223
00001.png,bottom-face,original_roi,0.24624926843905226
00001.png,forehead,original_roi,0.15836825552105202
00001.png,under-eyes,original_roi,0.20217634094012316
00001.png,left-cheek,a_degradation_11,0.2592910120809448
00001.png,right-cheek,a_degradation_11,0.22205661009241276
00001.png,bottom-face,a_degradation_11,0.23005948822692276
00001.png,forehead,a_degradation_11,0.1550769515997764
00001.png,under-eyes,a_degradation_11,0.20086348324201744
00001.png,left-cheek,a_degradation_17,0.22631363431672658
00001.png,right-cheek,a_degradation_17,0.1866770447545426
00001.png,bottom-face,a_degradation_17,0.20426487390494885
00001.png,forehead,a_degradation_17,0.1516565589629277
00001.png,under-eyes,a_degradation_17,0.19179042646645553
00011.png,left-cheek,original_roi,0.2281813967637878
00011.png,right-cheek,original_roi,0.30074452069879914
00011.png,bottom-face,original_roi,0.2544478927029391
00011.png,forehead,original_roi,0.2296640602743752
00011.png,under-eyes,original_roi,0.23233218528709798
00011.png,left-cheek,a_degradation_11,0.23338672191629128
00011.png,right-cheek,a_degradation_11,0.30582177118198184
00011.png,bottom-face,a_degradation_11,0.24862728518276714
00011.png,forehead,a_degradation_11,0.21653674517368562
00011.png,under-eyes,a_degradation_11,0.21900283425728004
00011.png,left-cheek,a_degradation_17,0.2144511723949744
00011.png,right-cheek,a_degradation_17,0.2618655011295705
00011.png,bottom-face,a_degradation_17,0.21711138201594832
00011.png,forehead,a_degradation_17,0.2003114024347729
00011.png,under-eyes,a_degradation_17,0.2184812978015285
00016.png,left-cheek,original_roi,0.21530962828929992
00016.png,right-cheek,original_roi,0.1895601853342125
00016.png,bottom-face,original_roi,0.165951039184353
00016.png,forehead,original_roi,0.1663589836869154
00016.png,under-eyes,original_roi,0.1994256752383577
00016.png,left-cheek,a_degradation_11,0.22104288760207289
00016.png,right-cheek,a_degradation_11,0.19211594438795845
00016.png,bottom-face,a_degradation_11,0.163949932272165
00016.png,forehead,a_degradation_11,0.16237612405909632
00016.png,under-eyes,a_degradation_11,0.19847847980100214
00016.png,left-cheek,a_degradation_17,0.22190226195288648
00016.png,right-cheek,a_degradation_17,0.1947833942501258
00016.png,bottom-face,a_degradation_17,0.15852681885473696
00016.png,forehead,a_degradation_17,0.15965969506584218
00016.png,under-eyes,a_degradation_17,0.19160359433619528
00017.png,left-cheek,original_roi,0.24308330551055152
00017.png,right-cheek,original_roi,0.2478493491982687
00017.png,bottom-face,original_roi,0.2306890600521529
00017.png,forehead,original_roi,0.12631693287877913
00017.png,under-eyes,original_roi,0.17525615880048903
00017.png,left-cheek,a_degradation_11,0.23069710517623512
00017.png,right-cheek,a_degradation_11,0.23481536586665783
00017.png,bottom-face,a_degradation_11,0.2203098644809884
00017.png,forehead,a_degradation_11,0.12475352405838618
00017.png,under-eyes,a_degradation_11,0.16848849354799714
00017.png,left-cheek,a_degradation_17,0.19923100789822443
00017.png,right-cheek,a_degradation_17,0.21533400217401244
00017.png,bottom-face,a_degradation_17,0.19861903385558427
00017.png,forehead,a_degradation_17,0.12106150475349739
00017.png,under-eyes,a_degradation_17,0.1674882693932377
00018.png,left-cheek,original_roi,0.27092293952071483
00018.png,right-cheek,original_roi,0.28191893878077573
00018.png,bottom-face,original_roi,0.2768454593922691
00018.png,forehead,original_roi,0.24328774603778877
00018.png,under-eyes,original_roi,0.25404949715110253
00018.png,left-cheek,a_degradation_11,0.2601190318637231
00018.png,right-cheek,a_degradation_11,0.2768286280459077
00018.png,bottom-face,a_degradation_11,0.2667850799560667
00018.png,forehead,a_degradation_11,0.2304379679745207
00018.png,under-eyes,a_degradation_11,0.23926629385834675
00018.png,left-cheek,a_degradation_17,0.24208309723669305
00018.png,right-cheek,a_degradation_17,0.24942473008784255
00018.png,bottom-face,a_degradation_17,0.24439719185371322
00018.png,forehead,a_degradation_17,0.23243492671286867
00018.png,under-eyes,a_degradation_17,0.23702166286815746
00021.png,left-cheek,original_roi,0.3088235660098459
00021.png,right-cheek,original_roi,0.2614002835183548
00021.png,bottom-face,original_roi,0.32482719626679324
00021.png,forehead,original_roi,0.3485408158996751
00021.png,under-eyes,original_roi,0.2839528341543448
00021.png,left-cheek,a_degradation_11,0.29220364658210607
00021.png,right-cheek,a_degradation_11,0.24484709525680673
00021.png,bottom-face,a_degradation_11,0.29229237559692633
00021.png,forehead,a_degradation_11,0.3200527052125218
00021.png,under-eyes,a_degradation_11,0.2621735535138198
00021.png,left-cheek,a_degradation_17,0.287854862595279
00021.png,right-cheek,a_degradation_17,0.21643889482957576
00021.png,bottom-face,a_degradation_17,0.25218606518224035
00021.png,forehead,a_degradation_17,0.29894093061706145
00021.png,under-eyes,a_degradation_17,0.26438301514059187
00027.png,left-cheek,original_roi,0.2093397209496145
00027.png,right-cheek,original_roi,0.15262489941550939
00027.png,bottom-face,original_roi,0.12938990934398106
